item,brand_seen_on_bills,indicative_retail_min,indicative_retail_max,unit,source,notes
IV Cannula 20G,Venflon Pro-Safety BD,40,80,each,1mg/PharmEasy public listings,Pre-2025 retail
IV Cannula 18G,Venflon/Optiva,50,90,each,1mg/PharmEasy public listings,
IV Cannula 22G,Venflon/Optiva,40,80,each,1mg/PharmEasy public listings,
Tegaderm IV Dressing 7x8.5cm,3M/Tegaderm,30,80,each,1mg/PharmEasy public listings,Transparent film dressing
Examination Gloves (Medium),Microflex/Ansell,5,12,each,1mg/PharmEasy public listings,Single glove
Surgical Gloves Sterile,Surgicare/Ansell,12,25,pair,1mg/PharmEasy public listings,Sterile latex pair
Safety Lancet 30G,Saflan/Acti-Lance,3,12,each,1mg/PharmEasy public listings,Single-use lancet
ABG Syringe 3ml (Lithium Heparin),BD/Pulsator,80,160,each,1mg/PharmEasy public listings,Pre-filled lithium heparin
Syringe Disposable 5ml,Lifelong/Dispovan,3,6,each,1mg/PharmEasy public listings,5ml with needle
Syringe Disposable 10ml,Lifelong/Dispovan,4,8,each,1mg/PharmEasy public listings,10ml with needle
Syringe Disposable 20ml,Lifelong/Dispovan,7,14,each,1mg/PharmEasy public listings,
IV Infusion Set,Intrafix/Romsons,40,150,each,1mg/PharmEasy public listings,Standard PVC tubing
IV Fixation Set,Intrafix Safeset BCV/B Braun,80,200,each,1mg/PharmEasy public listings,B Braun specialty infusion set
Three-Way Extension Line,Romsons/B Braun,80,180,each,1mg/PharmEasy public listings,Vein O Line 10cm
Surgical Three-Way Extension Line,Romsons/B Braun,80,180,each,1mg/PharmEasy public listings,
Surgical Gown Disposable,Vizitivity/Primewear,200,450,each,1mg/PharmEasy public listings,Disposable surgical gown
Disposable Apron,Vizitivity/Surgicare,40,80,each,1mg/PharmEasy public listings,28x52 inch sterile
Face Mask 3-Ply,Various,3,8,each,1mg/PharmEasy public listings,
Surgical Cap,Various,3,8,each,1mg/PharmEasy public listings,
Maternity Cotton Pad,Apsara/Sachdev,80,150,pack of 10,1mg/PharmEasy public listings,1x10 pack
Adult Diaper Large,Carent/Friends,40,90,each,1mg/PharmEasy public listings,Per piece
Underpad 60x90cm,Carent/Disposable,18,40,each,1mg/PharmEasy public listings,Eco-sure underpad
Gauze Swab Plain 7.5x7.5cm,Datt/Peninsular,2,8,each,1mg/PharmEasy public listings,Per swab
Gauze Swab with X-Ray 10x10cm,Datt/Peninsular,15,35,each,1mg/PharmEasy public listings,Radio-opaque
Endotracheal Tube Cuffed 8.0mm,Romsons/Portex,200,400,each,1mg/PharmEasy public listings,Single use
Cuffed Endotracheal Tube,Romsons/Portex,200,400,each,1mg/PharmEasy public listings,
Suction Catheter 14FR,Romsons/Welcare,15,40,each,1mg/PharmEasy public listings,
ECG Electrodes Adult,Medico International,15,35,each,1mg/PharmEasy public listings,Solid gel adhesive
Spinal Needle 25G,BD,150,300,each,1mg/PharmEasy public listings,Quincke point
Suture Material 3-0,Ethilon/Polyamide,250,450,each,1mg/PharmEasy public listings,J&J Ethicon
Suture Material 2-0,Ethilon/Polyamide,300,500,each,1mg/PharmEasy public listings,
Cidex Disinfectant,Cidex,150,300,bottle (per use),1mg/PharmEasy public listings,Glutaraldehyde - shared use
High-Level Disinfectant,Cidex equivalent,150,300,bottle (per use),1mg/PharmEasy public listings,
Sterillium Hand Rub,Sterillium/Bode,40,100,per use,1mg/PharmEasy public listings,Surgical hand disinfectant
Soframycin Cream 30g,Soframycin/Sofra,50,80,tube,1mg/PharmEasy public listings,Topical antibiotic
Surgical Blade Sterile No.15,Glassvan/Swann-Morton,4,12,each,1mg/PharmEasy public listings,Single-use blade
Blood Glucose Test Strips,OneTouch/Accu-Chek,8,18,each,1mg/PharmEasy public listings,Per strip
Glucometer Strip,OneTouch/Accu-Chek,8,18,each,1mg/PharmEasy public listings,
