free_text_pattern,canonical_name,kb_table,notes
emergency consultation,Consultation - Emergency,cghs_procedures,Casualty visit
casualty consultation,Consultation - Emergency,cghs_procedures,
emergency doctor,Consultation - Emergency,cghs_procedures,
opd consultation,Consultation - OPD - General,cghs_procedures,
specialist consultation,Consultation - OPD - Specialty,cghs_procedures,
super specialty consultation,Consultation - OPD - Specialty,cghs_procedures,
doctor visit ipd,IPD Doctor Visit,cghs_procedures,
ipd visit,IPD Doctor Visit,cghs_procedures,
inpatient consultation,IPD Doctor Visit,cghs_procedures,
junior doctor charges,Junior Doctor Charges,cghs_procedures,Resident rounds
resident charges,Junior Doctor Charges,cghs_procedures,
revisit consultation,Consultation Revisit,cghs_procedures,
abg,Arterial Blood Gas (ABG),cghs_diagnostics,Blood gas analysis
arterial blood gas,Arterial Blood Gas (ABG),cghs_diagnostics,
abg with electrolytes,Arterial Blood Gas with electrolytes,cghs_diagnostics,
cbc,Complete Blood Count (Automated),cghs_diagnostics,
complete blood count,Complete Blood Count (Automated),cghs_diagnostics,
complete haemogram,Complete Blood Count (Automated),cghs_diagnostics,
hb tc dc,Haemoglobin TC DC,cghs_diagnostics,
hs tc dc,Hemoglobin Total Count Differential Count,cghs_diagnostics,
hemoglobin total count differential count,Hemoglobin Total Count Differential Count,cghs_diagnostics,
platelet count,Platelet Count,cghs_diagnostics,
pt inr,Prothrombin Time (PT/INR),cghs_diagnostics,
prothrombin time,Prothrombin Time (PT/INR),cghs_diagnostics,
creatinine serum,Creatinine - Serum,cghs_diagnostics,
serum creatinine,Creatinine - Serum,cghs_diagnostics,
urea serum,Urea - Serum,cghs_diagnostics,
serum urea,Urea - Serum,cghs_diagnostics,
hba1c,HbA1c,cghs_diagnostics,
glycosylated hemoglobin,HbA1c,cghs_diagnostics,
hbsag,Hepatitis B Surface Antigen (HBsAg),cghs_diagnostics,
hepatitis b surface antigen,Hepatitis B Surface Antigen (HBsAg),cghs_diagnostics,
anti hcv,Anti HCV Antibody,cghs_diagnostics,
hiv,HIV I & II Antibody,cghs_diagnostics,
hiv i ii antibody,HIV I & II Antibody,cghs_diagnostics,
hiv i ii assay,HIV I & II Antibody,cghs_diagnostics,
blood group abo rh,Blood Group ABO + Rh,cghs_diagnostics,
blood group rh factor,Blood Group ABO + Rh,cghs_diagnostics,
tsh,TSH - Serum,cghs_diagnostics,
thyroid stimulating hormone,TSH - Serum,cghs_diagnostics,
lipid profile,Lipid Profile,cghs_diagnostics,
liver function test,Liver Function Test (LFT),cghs_diagnostics,
kidney function test,Kidney Function Test (KFT),cghs_diagnostics,
urine routine,Urine Routine Examination,cghs_diagnostics,
ecg,Electrocardiogram (ECG),cghs_diagnostics,
electrocardiogram,Electrocardiogram (ECG),cghs_diagnostics,
xray chest pa,X-Ray Chest PA View,cghs_diagnostics,
xray soft tissue nasopharynx,X-Ray Soft Tissue Nasopharynx Lateral,cghs_diagnostics,
oct optical coherence tomography,Optical Coherence Tomography (OCT) Single Eye,cghs_diagnostics,
specular microscopy,Specular Microscopy,cghs_diagnostics,
random blood sugar,Random Blood Sugar (RBS) / GRBS,cghs_diagnostics,
grbs,Random Blood Sugar (RBS) / GRBS,cghs_diagnostics,
fasting blood sugar,Fasting Blood Sugar / Glucose Fasting,cghs_diagnostics,
glucose fasting,Fasting Blood Sugar / Glucose Fasting,cghs_diagnostics,
sugar test glucometer,Sugar Test by Glucometer,cghs_diagnostics,
glucometer cbg,Capillary Blood Glucose (CBG) Test,cghs_diagnostics,
cbg test,Capillary Blood Glucose (CBG) Test,cghs_diagnostics,
ot general,Operating Theatre General Charge,cghs_procedures,
operative theatre general,Operating Theatre General Charge,cghs_procedures,
ot major,Operating Theatre Major Surgery Charge,cghs_procedures,
general anaesthesia minor,Anaesthesia - General Anaesthesia (Minor Surgery),cghs_procedures,
general anaesthesia major,Anaesthesia - General Anaesthesia (Major Surgery),cghs_procedures,
general anaesthesia,Anaesthesia - General Anaesthesia (Major Surgery),cghs_procedures,Default to major
local anaesthesia,Anaesthesia - Local Anaesthesia,cghs_procedures,
spinal anaesthesia,Anaesthesia - Spinal/Epidural,cghs_procedures,
epidural anaesthesia,Anaesthesia - Spinal/Epidural,cghs_procedures,
skin flap small,Skin Flap - Small,cghs_procedures,
skin flap medium,Skin Flap - Medium,cghs_procedures,
skin flap large,Skin Flap - Large,cghs_procedures,
abscess drainage small,Abscess Drainage - Small,cghs_procedures,
abscess drainage large,Abscess Drainage - Large,cghs_procedures,
inguinal hernioplasty unilateral,Inguinal Hernioplasty - Unilateral - Open,cghs_procedures,
inguinal hernioplasty bilateral,Inguinal Hernioplasty - Bilateral - Open,cghs_procedures,
septoplasty,Septoplasty (SMR),cghs_procedures,
smr,Septoplasty (SMR),cghs_procedures,
phacoemulsification,Phacoemulsification + IOL (single eye),cghs_procedures,
cataract surgery,Phacoemulsification + IOL (single eye),cghs_procedures,
iol implantation,Phacoemulsification + IOL (single eye),cghs_procedures,
blood sample collection,Blood Sample Collection,cghs_procedures,
iv cannulation,IV Cannulation,cghs_procedures,
injection administration,Injection Administration,cghs_procedures,
vitals checking,Vitals Checking,cghs_procedures,
abg sampling,ABG Sampling,cghs_procedures,
dressing simple,Dressing - Simple,cghs_procedures,
dressing complex,Surgical Dressing,cghs_procedures,
surgical dressing,Surgical Dressing,cghs_procedures,
diet package,Diet Package,cghs_procedures,
patient linen laundry,Patient Linen and Laundry Charges,cghs_procedures,
biomedical waste,Biomedical Waste Charges,cghs_procedures,
cssd biomedical waste,Biomedical Waste Charges,cghs_procedures,
ward sundry,Ward Sundry Charges,cghs_procedures,
admission charges,Registration / Admission Charges,cghs_procedures,
registration charges,Registration / Admission Charges,cghs_procedures,
medical record charges,Medical Record Charges,cghs_procedures,
camera ot,Operating Theatre Camera Usage,cghs_procedures,
light source ot,Operating Theatre Light Source Usage,cghs_procedures,
m para monitor,Operating Theatre Monitor Usage,cghs_procedures,
multiparameter monitor,Operating Theatre Monitor Usage,cghs_procedures,
tv monitor,Operating Theatre Monitor Usage,cghs_procedures,
ot ventilator,Operating Theatre Ventilator Usage,cghs_procedures,
ventilator circuit set,Operating Theatre Ventilator Usage,cghs_procedures,
diathermy,Operating Theatre Diathermy Usage,cghs_procedures,
ot boyels,Operating Theatre Anaesthesia Machine,cghs_procedures,
boyle apparatus,Operating Theatre Anaesthesia Machine,cghs_procedures,
oxygen ot,Oxygen Supply (Operative),cghs_procedures,
nitrous,Nitrous Oxide Gas,cghs_procedures,
nitrous oxide,Nitrous Oxide Gas,cghs_procedures,
general ward,General Ward,cghs_room_rent,
twin sharing,Twin Sharing Room,cghs_room_rent,
premium twin sharing,Premium Twin Sharing,cghs_room_rent,
single cabin,Single Cabin,cghs_room_rent,
deluxe room,Deluxe Room,cghs_room_rent,
icu,ICU,cghs_room_rent,
intensive care,ICU,cghs_room_rent,
icu ventilator,ICU with Ventilator,cghs_room_rent,
emergency room rent,Emergency Room - Per Hour,cghs_room_rent,
paracetamol iv infusion,Paracetamol,nppa_drugs,IV
pantoprazole injection,Pantoprazole,nppa_drugs,40mg vial
pantop injection,Pantoprazole,nppa_drugs,
ondansetron injection,Ondansetron,nppa_drugs,2mg/ml ampoule
mediset injection,Ondansetron,nppa_drugs,Brand name
emeset injection,Ondansetron,nppa_drugs,Brand name
ringer lactate,Ringer Lactate,nppa_drugs,500ml IV fluid
normal saline,Normal Saline,nppa_drugs,500ml
ns infusion,Normal Saline,nppa_drugs,
d5 infusion,Dextrose 5%,nppa_drugs,
dextrose,Dextrose 5%,nppa_drugs,
atropine injection,Atropine,nppa_drugs,
bupivacaine,Bupivacaine,nppa_drugs,Spinal
cefuroxime,Cefuroxime,nppa_drugs,
ceftriaxone,Ceftriaxone,nppa_drugs,
metronidazole,Metronidazole,nppa_drugs,
diclofenac injection,Diclofenac,nppa_drugs,
glycopyrrolate,Glycopyrrolate,nppa_drugs,
glycopy injection,Glycopyrrolate,nppa_drugs,
pyrolate injection,Glycopyrrolate,nppa_drugs,
alprazolam,Alprazolam,nppa_drugs,
iv cannula 20g,IV Cannula 20G,consumables,
cannula venflon,IV Cannula 20G,consumables,Default to 20G
tegaderm dressing,Tegaderm IV Dressing 7x8.5cm,consumables,
examination gloves,Examination Gloves (Medium),consumables,
surgical gloves sterile,Surgical Gloves Sterile,consumables,
safety lancet,Safety Lancet 30G,consumables,
abg syringe,ABG Syringe 3ml (Lithium Heparin),consumables,
syringe 5ml,Syringe Disposable 5ml,consumables,
syringe 10ml,Syringe Disposable 10ml,consumables,
syringe 20ml,Syringe Disposable 20ml,consumables,
iv infusion set,IV Infusion Set,consumables,
iv fixation set,IV Fixation Set,consumables,
three way extension,Three-Way Extension Line,consumables,
surgical three way extension,Surgical Three-Way Extension Line,consumables,
surgical gown,Surgical Gown Disposable,consumables,
disposable apron,Disposable Apron,consumables,
face mask,Face Mask 3-Ply,consumables,
surgical cap,Surgical Cap,consumables,
maternity cotton pad,Maternity Cotton Pad,consumables,
adult diaper,Adult Diaper Large,consumables,
underpad,Underpad 60x90cm,consumables,
gauze swab plain,Gauze Swab Plain 7.5x7.5cm,consumables,
gauze swab xray,Gauze Swab with X-Ray 10x10cm,consumables,
endotracheal tube,Endotracheal Tube Cuffed 8.0mm,consumables,
suction catheter,Suction Catheter 14FR,consumables,
ecg electrodes,ECG Electrodes Adult,consumables,
spinal needle,Spinal Needle 25G,consumables,
suture 3 0,Suture Material 3-0,consumables,
ethilon,Suture Material 3-0,consumables,
cidex,Cidex Disinfectant,consumables,
sterillium,Sterillium Hand Rub,consumables,
soframycin cream,Soframycin Cream 30g,consumables,
soramycin cream,Soframycin Cream 30g,consumables,
surgical blade,Surgical Blade Sterile No.15,consumables,
glucometer strip,Glucometer Strip,consumables,
one plus glucose strip,Glucometer Strip,consumables,
premium twin bed,Premium Twin Bed,cghs_room_rent,Twin sharing private room
premium twin bed.*twin sharing,Premium Twin Bed,cghs_room_rent,Collapses Twin Sharing variant
premium twin bed.*twin,Premium Twin Bed,cghs_room_rent,OCR variant
